# Data from Clarivate Analytics' Web of Science, retrieved 29 October 2018,,,,,,,,,,,,,
# This file generated on 2018-11-22 14:30:09,,,,,,,,,,,,,,
item,id,year,title,AU,SO,DE,DOI,DOI link,Modeling,Version Control,Versioning,Testing,Publicly accessible code?,Publicly accessible data?
3458,WOS:000335874500032,2014,A statistical modeling framework for projecting future ambient ozone and its health impact due to climate change,"Chang, Howard H.|Hao, Hua|Sarnat, Stefanie Ebelt",ATMOSPHERIC ENVIRONMENT,air pollution|climate change|emergency department visit|health impact|ozone|statistical model|uncertainty quantification,10.1016/j.atmosenv.2014.02.037,http://dx.doi.org/10.1016/j.atmosenv.2014.02.037,,,,,,
3906,WOS:000333506100015,2014,The contribution of future agricultural trends in the US Midwest to global climate change mitigation,"Thomson, A. M.|Kyle, G. P.|Zhang, X.|Bandaru, V.|West, T. O.|Wise, M. A.|Izaurralde, R. C.|Calvin, K. V.",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,integrated assessment|climate mitigation|agriculture,10.1016/j.gloenvcha.2013.11.019,http://dx.doi.org/10.1016/j.gloenvcha.2013.11.019,,,,,,
3883,WOS:000343852500010,2014,Adaptive surrogate modeling for optimization of flood control detention dams,"Yazdi, J.|Neyshabouri, S. A. A. Salehi",ENVIRONMENTAL MODELLING & SOFTWARE,optimization|adaptive neural network|simulation|meta-modeling|flood management,10.1016/j.envsoft.2014.07.007,http://dx.doi.org/10.1016/j.envsoft.2014.07.007,,,,,,
2885,WOS:000341801500032,2014,"Multi layered Modeling of Particulate Matter Removal by a Growing Forest over Time, From Plant Surface Deposition to Washoff via Rainfall","Schaubroeck, Thomas|Deckmyn, Gaby|Neirynck, Johan|Staelens, Jeroen|Adriaenssens, Sandy|Dewulf, Jo|Muys, Bart|Verheyen, Kris",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,10.1021/es5019724,http://dx.doi.org/10.1021/es5019724,,,,,,
2752,WOS:000342632000027,2014,Systematic assessment of the uncertainty in integrated surface water-groundwater modeling based on the probabilistic collocation method,"Wu, Bin|Zheng, Yi|Tian, Yong|Wu, Xin|Yao, Yingying|Han, Feng|Liu, Jie|Zheng, Chunmiao",WATER RESOURCES RESEARCH,,10.1002/2014WR015366,http://dx.doi.org/10.1002/2014WR015366,,,,,,
2798,WOS:000332505400003,2014,Hydrology of the Jordan River Basin: A GIS-Based System to Better Guide Water Resources Management and Decision Making,"Comair, Georges F.|McKinney, Daene C.|Maidment, David R.|Espinoza, Gonzalo|Sangiredy, Harish|Fayad, Abbas|Salas, Fernando R.",WATER RESOURCES MANAGEMENT,jordan river|transboundary basins|database|decision support system|gis|water diplomacy,10.1007/s11269-014-0525-2,http://dx.doi.org/10.1007/s11269-014-0525-2,,,,,,
3205,WOS:000347313600006,2014,Building a field- and model-based climatology of local water and energy cycles in the cultivated Sahel - annual budgets and seasonality,"Velluet, C.|Demarty, J.|Cappelaere, B.|Braud, I.|Issoufou, H. B. -A.|Boulain, N.|Ramier, D.|Mainassara, I.|Charvet, G.|Boucher, M.|Chazarin, J. -P.|Oi, M.|Yahou, H.|Maidaji, B.|Arpin-Pont, F.|Benarrosh, N.|Mahamane, A.|Nazoumou, Y.|Favreau, G.|Seghieri, J.",HYDROLOGY AND EARTH SYSTEM SCIENCES,,10.5194/hess-18-5001-2014,http://dx.doi.org/10.5194/hess-18-5001-2014,,,,,,
3895,WOS:000339100700008,2014,"Catchment-scale storm velocity: quantification, scale dependence and effect on flood response","Nikolopoulos, Efthymios I.|Borga, Marco|Zoccatelli, Davide|Anagnostou, Emmanouil N.",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,flash flood|space-time rainfall variability|storm velocity|weather radar|distributed hydrological modelling,10.1080/02626667.2014.923889,http://dx.doi.org/10.1080/02626667.2014.923889,,,,,,
3502,WOS:000332069500019,2014,Modeling daily flowering probabilities: expected impact of climate change on Japanese cherry phenology,"Allen, Jenica M.|Terres, Maria A.|Katsuki, Toshio|Iwamoto, Kojiro|Kobori, Hiromi|Higuchi, Hiroyoshi|Primack, Richard B.|Wilson, Adam M.|Gelfand, Alan|Silander, John A.",GLOBAL CHANGE BIOLOGY,bayesian|prunus jamasakura|prunus lannesiana|prunus spachiana|prunusxyedoensis|survival model|time to event model|vernalization|weather,10.1111/gcb.12364,http://dx.doi.org/10.1111/gcb.12364,,,,,,
3551,WOS:000363662700001,2014,Beyond the concrete: Accounting for ecosystem services from free-flowing rivers,"Auerbach, Daniel A.|Deisenroth, Daniel B.|McShane, Ryan R.|McCluney, Kevin E.|Poff, N. LeRoy",ECOSYSTEM SERVICES,rivers|dams|water infrastructure|integrated assessment|environmental flow regime,10.1016/j.ecoser.2014.07.005,http://dx.doi.org/10.1016/j.ecoser.2014.07.005,,,,,,
3782,WOS:000343613200046,2014,Evaluating the impact of climate change on groundwater resources in a small Mediterranean watershed,"Erturk, Ali|Ekdal, Alpaslan|Gurel, Melike|Karakaya, Nusret|Guzel, Cigdem|Gonenc, Ethem",SCIENCE OF THE TOTAL ENVIRONMENT,koycegiz-dalyan watershed|groundwater dependent ecosystems|regional climate models|swat|hydrological modeling,10.1016/j.scitotenv.2014.07.001,http://dx.doi.org/10.1016/j.scitotenv.2014.07.001,,,,,,
3156,WOS:000337772800027,2014,On the effects of small scale space-time variability of rainfall on basin flood response,"Paschalis, Athanasios|Fatichi, Simone|Molnar, Peter|Rimkus, Stefan|Burlando, Paolo",JOURNAL OF HYDROLOGY,"flood response|hydrological modeling|stochastic rainfall modeling, streap",10.1016/j.jhydrol.2014.04.014,http://dx.doi.org/10.1016/j.jhydrol.2014.04.014,,,,,,
2791,WOS:000334111600027,2014,Finite volume integrated surface- subsurface flow modeling on nonorthogonal grids,"An, Hyunuk|Yu, Soonyoung",WATER RESOURCES RESEARCH,surface|subsurface interaction|integrated modeling|finite volume model|coordinate transformation method|topographical effects,10.1002/2013WR013828,http://dx.doi.org/10.1002/2013WR013828,,,,,,
2792,WOS:000332135600015,2014,Exploring the spatial variability of contributions from climate variation and change in catchment properties to streamflow decrease in a mesoscale basin by three different methods,"Sun, Yu|Tian, Fuqiang|Yang, Long|Hu, Heping",JOURNAL OF HYDROLOGY,streamflow decrease|climate variability|catchment properties|budyko framework|hydrological model,10.1016/j.jhydrol.2013.11.004,http://dx.doi.org/10.1016/j.jhydrol.2013.11.004,,,,,,
3506,WOS:000342168500008,2014,Illuminating geographical patterns in species' range shifts,"Grenouillet, Gael|Comte, Lise",GLOBAL CHANGE BIOLOGY,climate change|colonization|distribution shifts|drivers|extirpation|lag|range limits|stream fish,10.1111/gcb.12570,http://dx.doi.org/10.1111/gcb.12570,,,,,,
3801,WOS:000338651100009,2014,A Distributed Hydrological Model Driven by Multi-Source Spatial Data and Its Application in the Ili River Basin of Central Asia,"Cai, Mingyong|Yang, Shengtian|Zeng, Hongjuan|Zhao, Changsen|Wang, Shudong",WATER RESOURCES MANAGEMENT,multi-spatial data|remote sensing|ungauged regions|ms-dtvgm|hydrological modeling,10.1007/s11269-014-0641-z,http://dx.doi.org/10.1007/s11269-014-0641-z,,,,,,
3694,WOS:000348519300009,2014,A framework to resolve spatio-temporal misalignment in component-based modelling,"Schmitz, Oliver|Salvadore, Elga|Poelmans, Lien|van der Kwast, Johannes|Karssenberg, Derek",JOURNAL OF HYDROINFORMATICS,hydrology|integrated modelling|interdisciplinary modelling|land use change|python|spatio-temporal scaling,10.2166/hydro.2013.180,http://dx.doi.org/10.2166/hydro.2013.180,,,,,,
2495,WOS:000332820900005,2014,Combining expert elicitation and stated preference methods to value ecosystem services from improved lake water quality,"Van Houtven, George|Mansfield, Carol|Phaneuf, Daniel J.|von Haefen, Roger|Milstead, Bryan|Kenney, Melissa A.|Reckhow, Kenneth H.",ECOLOGICAL ECONOMICS,ecosystem services valuation|water quality|expert elicitation|stated preference|water quality modeling,10.1016/j.ecolecon.2013.12.018,http://dx.doi.org/10.1016/j.ecolecon.2013.12.018,,,,,,
3797,WOS:000333446100007,2014,Framework to Evaluate Energy-Saving Potential from Occupancy Interventions in Typical Commercial Buildings in the United States,"Azar, Elie|Menassa, Carol C.",JOURNAL OF COMPUTING IN CIVIL ENGINEERING,commercial buildings|energy efficiency|united states|commercial buildings|energy conservation|energy efficiency|agent-based modeling|social subnetworks,10.1061/(ASCE)CP.1943-5487.0000318,http://dx.doi.org/10.1061/(ASCE)CP.1943-5487.0000318,,,,,,
3552,WOS:000334671600050,2014,An integrated modelling framework of catchment- scale ecohydrological processes: 2. The role of water subsidy by overland flow on vegetation dynamics in a semi- arid catchment,"Niu, Guo-Yue|Troch, Peter A.|Paniconi, Claudio|Scott, Russell L.|Durcik, Matej|Zeng, Xubin|Huxman, Travis|Goodrich, David|Pelletier, Jon",ECOHYDROLOGY,overland flow|re-infiltration|vegetation dynamics|semi-arid catchment,10.1002/eco.1405,http://dx.doi.org/10.1002/eco.1405,,,,,,
2472,WOS:000331916100031,2014,Integrated earth system dynamic modeling for life cycle impact assessment of ecosystem services,"Arbault, Damien|Riviere, Mylene|Rugani, Benedetto|Benetto, Enrico|Tiruta-Barna, Ligia",SCIENCE OF THE TOTAL ENVIRONMENT,life cycle impact assessment (lcia)|life cycle assessment (lca)|dynamic modeling|ecosystem services (es)|integrated modeling|global unified metamodel of the biosphere (gumbo),10.1016/j.scitotenv.2013.10.099,http://dx.doi.org/10.1016/j.scitotenv.2013.10.099,,,,,,
2797,WOS:000336342500011,2014,Will thermal power plants with CCS play a role in Brazil's future electric power generation?,"Pupo Nogueira, Larissa Pinheiro|Pereira de Lucena, Andre Frossard|Rathmann, Regis|Rodriguez Rochedo, Pedro Rua|Szklo, Alexandre|Schaeffer, Roberto",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,thermal power generation|ccs|carbon capture and storage|brazilian energy mix|message|integrated assessment modeling,10.1016/j.ijggc.2014.03.002,http://dx.doi.org/10.1016/j.ijggc.2014.03.002,,,,,,
2206,WOS:000334414900012,2014,Non-Kyoto radiative forcing in long-run greenhouse gas emissions and climate change scenarios,"Rose, Steven K.|Richels, Richard|Smith, Steve|Riahi, Keywan|Strefler, Jessica|van Vuuren, Detlef P.",CLIMATIC CHANGE,,10.1007/s10584-013-0955-5,http://dx.doi.org/10.1007/s10584-013-0955-5,,,,,,
2815,WOS:000331973200011,2014,Modeling adaptation as a flow and stock decision with mitigation,"Felgenhauer, Tyler|Webster, Mort",CLIMATIC CHANGE,,10.1007/s10584-013-1016-9,http://dx.doi.org/10.1007/s10584-013-1016-9,,,,,,
3779,WOS:000334361000004,2014,Climate-driven uncertainties in modeling terrestrial gross primary production: a site level to global-scale analysis,"Barman, Rahul|Jain, Atul K.|Liang, Miaoling",GLOBAL CHANGE BIOLOGY,uncertainty|land surface model|gross primary production (gpp)|integrated science assessment model (isam),10.1111/gcb.12474,http://dx.doi.org/10.1111/gcb.12474,,,,,,
2251,WOS:000335706900005,2014,A general regional frequency analysis framework for quantifying local-scale climate effects: A case study of ENSO effects on Southeast Queensland rainfall,"Sun, Xun|Thyer, Mark|Renard, Benjamin|Lang, Michel",JOURNAL OF HYDROLOGY,regional frequency analysis|spatio-temporal extremes|climate-informed model|enso|precipitation|australia,10.1016/j.jhydrol.2014.02.025,http://dx.doi.org/10.1016/j.jhydrol.2014.02.025,,,,,,
3473,WOS:000347270600004,2014,Runoff Trends Analysis and Future Projections of Hydrological Patterns in Small Forested Catchments,"Lamacova, Anna|Hruska, Jakub|Kram, Pavel|Stuchlik, Evzen|Farda, Ales|Chuman, Tomas|Fottova, Daniela",SOIL AND WATER RESEARCH,climate change|flow pattern|headwater catchments|hydrological modelling,10.17221/110/2013-SWR,http://dx.doi.org/10.17221/110/2013-SWR,,,,,,
2466,WOS:000330743000044,2014,Improving the representation of soil moisture by using a semi-analytical infiltration model,"Brocca, L.|Camici, S.|Melone, F.|Moramarco, T.|Martinez-Fernandez, J.|Didon-Lescot, J. -F.|Morbidelli, R.",HYDROLOGICAL PROCESSES,soil moisture|infiltration|hydrological modelling|in situ observations,10.1002/hyp.9766,http://dx.doi.org/10.1002/hyp.9766,,,,,,
3214,WOS:000347921100031,2014,Analytical steady-state solutions for water-limited cropping systems using saline irrigation water,"Skaggs, T. H.|Anderson, R. G.|Corwin, D. L.|Suarez, D. L.",WATER RESOURCES RESEARCH,,10.1002/2014WR016058,http://dx.doi.org/10.1002/2014WR016058,,,,,,
2249,WOS:000342632000048,2014,Modeling hydrologic and ecologic responses using a new eco-hydrological model for identification of droughts,"Sawada, Yohei|Koike, Toshio|Jaranilla-Sanchez, Patricia Ann",WATER RESOURCES RESEARCH,,10.1002/2013WR014847,http://dx.doi.org/10.1002/2013WR014847,,,,,,
2839,WOS:000335754100020,2014,Application of a hydrometeorological model chain to investigate the effect of global boundaries and downscaling on simulated river discharge,"Marke, T.|Mauser, W.|Pfeiffer, A.|Zaengl, G.|Jacob, D.|Strasser, U.",ENVIRONMENTAL EARTH SCIENCES,statistical downscaling|bias correction|discharge simulation|hydrological modelling,10.1007/s12665-013-2876-z,http://dx.doi.org/10.1007/s12665-013-2876-z,,,,,,
3145,WOS:000339927500028,2014,An Integrated Approach for Partitioning the Effect of Climate Change and Human Activities on Surface Runoff,"Zhan, Chesheng|Zeng, Sidong|Jiang, Shanshan|Wang, Huixiao|Ye, Wen",WATER RESOURCES MANAGEMENT,climate change|human activities|runoff|hydrological model|elasticity coefficients,10.1007/s11269-014-0713-0,http://dx.doi.org/10.1007/s11269-014-0713-0,,,,,,
3209,WOS:000342166000010,2014,Using soil survey data for series-level environmental phosphorus risk assessment,"Sekhon, Bharpoor S.|Bhumbla, Devinder K.|Sencindiver, John|McDonald, Louis M.",ENVIRONMENTAL EARTH SCIENCES,soil series|phosphorus|soil survey|west virginia|phosphorus sorption capacity|degree of p saturation|soil test phosphorus,10.1007/s12665-014-3144-6,http://dx.doi.org/10.1007/s12665-014-3144-6,,,,,,
3800,WOS:000344783800047,2014,Nonlinear time-series modeling of unconfined groundwater head,"Peterson, T. J.|Western, A. W.",WATER RESOURCES RESEARCH,hydrogeology|time-series modeling|transfer function noise models,10.1002/2013WR014800,http://dx.doi.org/10.1002/2013WR014800,,,,,,
2861,WOS:000332580200002,2014,Uncertainty in Integrated Assessment Models of Climate Change: Alternative Analytical Approaches,"Golub, Alexander|Narita, Daiju|Schmidt, Matthias G. W.",ENVIRONMENTAL MODELING & ASSESSMENT,uncertainty|learning|economics of climate change|integrated assessment models|real options|dynamic programming,10.1007/s10666-013-9386-y,http://dx.doi.org/10.1007/s10666-013-9386-y,,,,,,
2189,WOS:000332172900004,2014,PRICING DERIVATIVES ON MULTISCALE DIFFUSIONS: AN EIGENFUNCTION EXPANSION APPROACH,"Lorig, Matthew",MATHEMATICAL FINANCE,spectral theory|stochastic volatility|eigenfunction|barrier|derivative pricing|singular perturbation theory|knock-out|local volatility|regular perturbation theory|default,10.1111/mafi.12007,http://dx.doi.org/10.1111/mafi.12007,,,,,,
2473,WOS:000332673600004,2014,Simple Method for Streamflow Disaggregation,"Acharya, Anil|Ryu, Jae H.",JOURNAL OF HYDROLOGIC ENGINEERING,streamflow|water resources|climate change|streamflow disaggregation|monthly to daily streamflow|flow index|water resources management|climate change,10.1061/(ASCE)HE.1943-5584.0000818,http://dx.doi.org/10.1061/(ASCE)HE.1943-5584.0000818,,,,,,
2557,WOS:000337654100019,2014,Holistic environmental soil-landscape modeling of soil organic carbon,"Xiong, Xiong|Grunwald, Sabine|Myers, D. Brenton|Kim, Jongsung|Harris, Willie G.|Comerford, Nicolas B.",ENVIRONMENTAL MODELLING & SOFTWARE,environmental soil-landscape modeling|step-awbh model|soil organic carbon|variable selection|categorical variables|data reduction,10.1016/j.envsoft.2014.03.004,http://dx.doi.org/10.1016/j.envsoft.2014.03.004,,,,,,
2190,WOS:000343631600008,2014,Improved sea level anomaly prediction through combination of data relationship analysis and genetic programming in Singapore Regional Waters,"Kurniawan, Alamsyah|Ooi, Seng Keat|Babovic, Vladan",COMPUTERS & GEOSCIENCES,data model integration|average mutual information|error forecasting|tide-surge interaction,10.1016/j.cageo.2014.07.007,http://dx.doi.org/10.1016/j.cageo.2014.07.007,,,,,,
2555,WOS:000337654100014,2014,A distributed data component for the Open Modeling Interface,"Bulatewicz, T.|Andresen, D.|Auvenshine, S.|Peterson, J.|Steward, D. R.",ENVIRONMENTAL MODELLING & SOFTWARE,openmi|data management|web services|integrated modeling,10.1016/j.envsoft.2014.02.017,http://dx.doi.org/10.1016/j.envsoft.2014.02.017,,,,,,
3495,WOS:000339098700004,2014,Hydrological sensitivity of a northern mountain basin to climate change,"Rasouli, Kabir|Pomeroy, John W.|Janowicz, J. Richard|Carey, Sean K.|Williams, Tyler J.",HYDROLOGICAL PROCESSES,climate change impact|yukon|sensitivity analysis|snow hydrology|cold regions|hydrological modelling,10.1002/hyp.10244,http://dx.doi.org/10.1002/hyp.10244,,,,,,
3206,WOS:000336365300005,2014,Valuing albedo as an ecosystem service: implications for forest management,"Lutz, David A.|Howarth, Richard B.",CLIMATIC CHANGE,,10.1007/s10584-014-1109-0,http://dx.doi.org/10.1007/s10584-014-1109-0,,,,,,
2847,WOS:000342632000019,2014,Global-scale assessment of groundwater depletion and related groundwater abstractions: Combining hydrological modeling with information from well observations and GRACE satellites,"Doell, Petra|Mueller Schmied, Hannes|Schuh, Carina|Portmann, Felix T.|Eicker, Annette",WATER RESOURCES RESEARCH,,10.1002/2014WR015595,http://dx.doi.org/10.1002/2014WR015595,,,,,,
2502,WOS:000328724500020,2014,Accelerating a hydrological uncertainty ensemble model using graphics processing units (GPUs),"Tristram, D.|Hughes, D.|Bradshaw, K.",COMPUTERS & GEOSCIENCES,gpgpu|opencl|hydrological modelling,10.1016/j.cageo.2013.07.011,http://dx.doi.org/10.1016/j.cageo.2013.07.011,,,,,,
2803,WOS:000333683100004,2014,Hydrological modelling using data from monthly GCMs in a regional catchment,"Remesan, Renji|Bellerby, Tim|Frostick, Lynne",HYDROLOGICAL PROCESSES,cccma|hadcm3|auxiliary-hymod|parameter estimation|blaney-criddle potential evaporation|a2a|b2a|united kingdom,10.1002/hyp.9872,http://dx.doi.org/10.1002/hyp.9872,,,,,,
3470,WOS:000347274100001,2014,What has been accomplished twenty years after the Oreskes et al. (1994) critique? Current state and future perspectives of environmental modeling in the Great Lakes,"Arhonditsis, George B.|Stow, Craig A.|Rao, Yerubandi R.|Perhar, Gurbir",JOURNAL OF GREAT LAKES RESEARCH,,10.1016/j.jglr.2014.11.002,http://dx.doi.org/10.1016/j.jglr.2014.11.002,,,,,,
2779,WOS:000346337400001,2014,"Modelling snow water equivalent and spring runoff in a boreal watershed, James Bay, Canada","Oreiller, M.|Nadeau, D. F.|Minville, M.|Rousseau, A. N.",HYDROLOGICAL PROCESSES,blowing snow sublimation|blowing snow relocation|field measurements|gamma ray snow gauge|hydrological modelling|mixed degree-day / energy balance snow module,10.1002/hyp.10091,http://dx.doi.org/10.1002/hyp.10091,,,,,,
2470,WOS:000358124300001,2014,Storm-induced changes in coastal geomorphology control estuarine secondary productivity,"Filgueira, Ramon|Guyondet, Thomas|Comeau, Luc A.|Grant, Jon",EARTHS FUTURE,climate change|ecosystem services|coastal geomorphology|breaching|secondary productivity|ecosystem modelling,10.1002/2013EF000145,http://dx.doi.org/10.1002/2013EF000145,,,,,,
2391,WOS:000341597600011,2014,A comparison of three simple approaches to identify critical areas for runoff and dissolved reactive phosphorus losses,"Hahn, C.|Prasuhn, V.|Stamm, C.|Milledge, D. G.|Schulin, R.",HYDROLOGY AND EARTH SYSTEM SCIENCES,,10.5194/hess-18-2975-2014,http://dx.doi.org/10.5194/hess-18-2975-2014,,,,,,
3115,WOS:000334414900022,2014,Transport electrification: A key element for energy system transformation and climate stabilization,"McCollum, David|Krey, Volker|Kolp, Peter|Nagai, Yu|Riahi, Keywan",CLIMATIC CHANGE,,10.1007/s10584-013-0969-z,http://dx.doi.org/10.1007/s10584-013-0969-z,,,,,,
2417,WOS:000338007900006,2014,Modeling Insurer-Homeowner Interactions in Managing Natural Disaster Risk,"Kesete, Yohannes|Peng, Jiazhen|Gao, Yang|Shan, Xiaojun|Davidson, Rachel A.|Nozick, Linda K.|Kruse, Jamie",RISK ANALYSIS,game theory|homeowner|hurricane|insurance|optimization,10.1111/risa.12227,http://dx.doi.org/10.1111/risa.12227,,,,,,
3960,WOS:000337555500001,2014,Modeling and evaluating the sustainability of smart solutions,"Hilty, Lorenz M.|Aebischer, Bernard|Rizzoli, Andrea E.",ENVIRONMENTAL MODELLING & SOFTWARE,,10.1016/j.envsoft.2014.04.001,http://dx.doi.org/10.1016/j.envsoft.2014.04.001,,,,,,
3339,WOS:000336700100029,2014,Impacts of climate change on farm income security in Central Asia: An integrated modeling approach,"Bobojonov, Ihtiyor|Aw-Hassan, Aden",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,climate risk|uncertainty|drought|crop model|bio-economic model,10.1016/j.agee.2014.02.033,http://dx.doi.org/10.1016/j.agee.2014.02.033,,,,,,
2361,WOS:000337210300008,2014,The contextual factors contributing to occupants' adaptive comfort behaviors in offices - A review and proposed modeling framework,"O'Brien, William|Gunay, H. Burak",BUILDING AND ENVIRONMENT,occupant behavior|adaptive comfort|office buildings|contextual factors|modeling framework|building performance simulation,10.1016/j.buildenv.2014.03.024,http://dx.doi.org/10.1016/j.buildenv.2014.03.024,,,,,,
3718,WOS:000340492700023,2014,Rainstorm waterlogging risk assessment in central urban area of Shanghai based on multiple scenario simulation,"Quan, Rui-Song",NATURAL HAZARDS,rainstorm waterlogging|multiple scenario simulation|stage-damage curve|risk assessment|shanghai,10.1007/s11069-014-1156-x,http://dx.doi.org/10.1007/s11069-014-1156-x,,,,,,
2419,WOS:000329836900019,2014,Assessing the quality of life history information in publicly available databases,"Thorson, James T.|Cope, Jason M.|Patrick, Wesley S.",ECOLOGICAL APPLICATIONS,bayesian|error-in-variables|global database|life history parameter,10.1890/12-1855.1,http://dx.doi.org/10.1890/12-1855.1,,,,,,
3018,WOS:000345621100020,2014,Herbage Production and Species Richness in Sub-alpine Grasslands of Different Soil Parent Material in Northern Greece,"Mpokos, J. Panagiotis|Yiakoulaki, D. Maria|Papazafeiriou, Z. Agapi|Sgardelis, Stefanos|Alifragis, Dimitrios|Papanikolaou, Konstantinos",JOURNAL OF MOUNTAIN SCIENCE,mountain pastures|biomass production|functional groups|altitude|agrostis capillaris,10.1007/s11629-013-2905-0,http://dx.doi.org/10.1007/s11629-013-2905-0,,,,,,
3282,WOS:000336254900018,2014,"Parameter Uncertainty Analysis of Surface Flow and Sediment Yield in the Huolin Basin, China","Xue, Chen|Chen, Bing|Wu, Hongjing",JOURNAL OF HYDROLOGIC ENGINEERING,uncertainty principles|sediment|overland flow|china|parameters|uncertainty analysis|swat|glue|sufi-2|surface flow|sediment yield,10.1061/(ASCE)HE.1943-5584.0000909,http://dx.doi.org/10.1061/(ASCE)HE.1943-5584.0000909,,,,,,
3009,WOS:000331924200012,2014,On the utilization of hydrological modelling for road drainage design under climate and land use change,"Kalantari, Zahra|Briel, Annemarie|Lyon, Steve W.|Olofsson, Bo|Folkeson, Lennart",SCIENCE OF THE TOTAL ENVIRONMENT,clear-cutting|extreme storm events|runoff|road infrastructure dimensioning|mike she,10.1016/j.scitotenv.2013.12.114,http://dx.doi.org/10.1016/j.scitotenv.2013.12.114,,,,,,
3349,WOS:000345525000014,2014,Embedding complex hydrology in the regional climate system - Dynamic coupling across different modelling domains,"Butts, Michael|Drews, Martin|Larsen, Morten A. D.|Lerer, Sara|Rasmussen, Soren H.|Grooss, Jesper|Overgaard, Jesper|Refsgaard, Jens C.|Christensen, Ole B.|Christensen, Jens H.",ADVANCES IN WATER RESOURCES,climate change|water resources management|dynamic model coupling|groundwater-atmosphere interaction|atmospheric feedback|adaptation,10.1016/j.advwatres.2014.09.004,http://dx.doi.org/10.1016/j.advwatres.2014.09.004,,,,,,
2620,WOS:000345529500003,2014,Simulating Water Resource Availability under Data Scarcity-A Case Study for the Ferghana Valley (Central Asia),"Radchenko, Iuliia|Breuer, Lutz|Forkutsa, Irina|Frede, Hans-Georg",WATER,hydrological modeling|monte carlo simulation|modawec|hbv-light model|lapse rate|multiple linear regression,10.3390/w6113270,http://dx.doi.org/10.3390/w6113270,,,,,,
3276,WOS:000337654100009,2014,Data assimilation framework: Linking an open data assimilation library (OpenDA) to a widely adopted model interface (OpenMI),"Ridler, Marc E.|van Velzen, Nils|Hummel, Stef|Sandholt, Inge|Falk, Anne Katrine|Heemink, Arnold|Madsen, Henrik",ENVIRONMENTAL MODELLING & SOFTWARE,openda|openmi|data assimilation|hydrological modeling|kalman filter|uncertainty,10.1016/j.envsoft.2014.02.008,http://dx.doi.org/10.1016/j.envsoft.2014.02.008,,,,,,
2666,WOS:000340541600008,2014,Incorporating topographic indices into dynamic ecosystem modelling using LPJ-GUESS,"Tang, Jing|Pilesjo, Petter|Miller, Paul A.|Persson, Andreas|Yang, Zhenlin|Hanna, Edward|Callaghan, Terry V.",ECOHYDROLOGY,lpj-guess|topographic index|distributed hydrology|lpj-dh,10.1002/eco.1446,http://dx.doi.org/10.1002/eco.1446,,,,,,
3607,WOS:000333522400009,2014,Impact of Climate Change on the Hydrology of Upper Tiber River Basin Using Bias Corrected Regional Climate Model,"Fiseha, B. M.|Setegn, S. G.|Melesse, A. M.|Volpi, E.|Fiori, A.",WATER RESOURCES MANAGEMENT,rcm|bias correction|climate change|hydrological modeling|swat|tiber river basin,10.1007/s11269-014-0546-x,http://dx.doi.org/10.1007/s11269-014-0546-x,,,,,,
2619,WOS:000344436100011,2014,Atmospheric pathway: A possibility of continuous outbreaks of foot-and-mouth disease in South Korea in 2010-2011,"Kritana, Prueksakorn|Taehyeung, Kim|Hyeontae, Kim|Youn, Kim Ki|Wongeun, Son",COMPUTERS AND ELECTRONICS IN AGRICULTURE,airborne transmission|atmospheric dispersion model|foot-and-mouth disease virus|infection|livestock disease control|mobile application,10.1016/j.compag.2014.07.007,http://dx.doi.org/10.1016/j.compag.2014.07.007,,,,,,
3359,WOS:000329561100016,2014,A model for deriving voxel-level tree leaf area density estimates from ground-based LiDAR,"Beland, Martin|Widlowski, Jean-Luc|Fournier, Richard A.",ENVIRONMENTAL MODELLING & SOFTWARE,ground-based lidar|voxel|modelling|3-d leaf area distribution|forest structure|leaf area index,10.1016/j.envsoft.2013.09.034,http://dx.doi.org/10.1016/j.envsoft.2013.09.034,,,,,,
3738,WOS:000344423000023,2014,Ecogeomorphological consequences of land abandonment in semiarid Mediterranean areas: Integrated assessment of physical evolution and biodiversity,"Robledano-Aymerich, Francisco|Romero-Diaz, Asuncion|Belmonte-Serrato, Francisco|Zapata-Perez, Victor M.|Martinez-Hernandez, Carlos|Martinez-Lopez, Vicente",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,oldfields|mediterranean|semiarid|physical degradation|biodiversity|integrated assessment,10.1016/j.agee.2014.08.006,http://dx.doi.org/10.1016/j.agee.2014.08.006,,,,,,
2424,WOS:000330491200025,2014,Long term building energy demand for India: Disaggregating end use energy services in an integrated assessment modeling framework,"Chaturvedi, Vaibhav|Eom, Jiyong|Clarke, Leon E.|Shukla, Priyadarshi R.",ENERGY POLICY,building energy demand|india|integrated assessment modeling,10.1016/j.enpol.2012.11.021,http://dx.doi.org/10.1016/j.enpol.2012.11.021,,,,,,
