DOI,title,1,2,3,4,5
10.2166/hydro.2011.020,Integrating three lake models into a Phytoplankton Prediction System for Lake Taihu (Taihu PPS) with Python (2012),The system predicts the short-term (1-4 days) distribution of phytoplankton biomass in this large eutrophic lake in China.,These features facilitate efficient integration of the three models into Taihu PPS.,"Advanced tools (e. g. tools for statistics, 3D visualization and model calibration) could be developed in the future with the aid of the continuously updated Python libraries.","To overcome this problem, we used Python to integrate three lake models into a Phytoplankton Prediction System for Lake Taihu (Taihu PPS).",Taihu PPS simulated phytoplankton biomass well and has already been applied to support decision making.
10.1016/j.envsoft.2012.01.020,Simulating watersheds using loosely integrated model components: Evaluation of computational scaling using OpenMI (2013),"Our analysis was limited to semi-distributed watershed modeling, however, and future research is needed to understand performance and accuracy for more data demanding hydrologic models.",Our results suggest that the overhead introduced by runtime communication of data is not significant when applied for semi-distributed watershed modeling.,"Therefore, it is necessary to develop a means to integrate multiple simulation models to predict holistic system response.",The motivation for this work is to quantify performance overhead costs introduced by adopting a component-based paradigm for loosely integrating hydrologic simulation models.,
10.1016/j.compchrmeng.2017.02.004,A semantic framework for enabling model integration for biorefining (2017),"In addition, partial matching is employed to facilitate flexibility to broaden the horizon to find opportunities in identifying an appropriate model and/or dataset.",,,,
10.1016/j.compag.2015.04.009,A flexible framework for environmental policy assessment at the catchment level (2015),"Notable benefits of the framework are that it is straightforward to code and calibrate, its modular design allows the independent development of components, it may be applied in a participatory-modelling context, and its level of complexity can be altered, depending on the available resources.",The utility of the model has been demonstrated in extensive application throughout Australasia.,Land-use optimisation models have been extensively applied to inform policy development in diverse environments.,,
10.5194/hess-20-443-2016,"Socio-hydrological modelling: a review asking ""why, what and how?"" (2016)","Some important concepts that underlie socio-hydrological modelling efforts are then discussed, including ways of viewing socio-hydrological systems, space and time in modelling, complexity, data and model conceptualisation.","The review of literature suggests that the nature of socio-hydrological study, being interdisciplinary, focusing on complex interactions between human and natural systems, and dealing with long horizons, is such that modelling will always present a challenge; it is, however, the task of the modeller to use the wide range of tools afforded to them to overcome these challenges as much as possible.","There is an essential choice that socio-hydrological modellers face in deciding between representing individual system processes or viewing the system from a more abstracted level and modelling it as such; using these different approaches has implications for model development, applicability and the insight that they are capable of giving, and so the decision regarding how to model the system requires thorough consideration of, among other things, the nature of understanding that is sought.","Interactions between humans and the environment are occurring on a scale that has never previously been seen; the scale of human interaction with the water cycle, along with the coupling present between social and hydrological systems, means that decisions that impact water also impact people.","Models are often used to assist in decision-making regarding hydrological systems, and so in order for effective decisions to be made regarding water resource management, these interactions and feedbacks should be accounted for in models used to analyse systems in which water and humans interact."
10.1016/j.envsoft.2008.09.009,Modelling with knowledge: A review of emerging semantic approaches to environmental modelling (2009),"The notion of ""declarative modelling"" has been suggested as a remedy to help design, communicate, share and integrate models.",This severely limits the options in reusing environmental models and connecting them to datasets or other models.,"Semantically aware environmental modelling is a way of designing, implementing and deploying environmental datasets and models based on the independent, standardized formalization of the underlying environmental science.","Yet, the knowledge they incorporate is rarely self-contained enough for them to be understood and used by humans or machines - without the modeller's mediation.","Models, and to a lesser extent datasets, embody sophisticated statements of environmental knowledge."
10.1016/j.advwatres.2015.02.014,An immersed structure approach for fluid-vegetation interaction (2015),Upscaled bulk drag quantities from this method may be utilized in larger-scale simulations of flow through vegetation regions.,We test the method on several channel flow setups.,Fluid flow and rigid and flexible vegetative obstacles are coupled through a local drag relation that conserves momentum.,Bulk drag models are the primary method of incorporating small-scale drag from individual plants into a value that can be used in larger-scale models.,"Taking techniques from immersed boundary finite element methods, the effects of the fluid on the vegetative structures and vice versa are calculated using integral transforms."
10.1016/j.envsoft.2010.01.003,A generic approach for developing process-level hydrologic modeling components (2010),"We address this challenge by presenting an approach for efficiently creating standards-based, process-level hydrologic modeling components.","Component software architectures offer an alternative approach for building large, complex hydrologic modeling systems.","Using this approach, a hydrologic process is implemented as a modeling component by (1) authoring a configuration file that defines the properties of the component and (2) creating a class with three methods that define the pre-run, runtime, and post-run behavior of the modeling component.",,
10.3390/w8010012,Integration of a Three-Dimensional Process-Based Hydrological Model into the Object Modeling System (2016),The integration of a spatial process model into an environmental modeling framework can enhance the model's capabilities.,This study serves as a template for future integration of process models into OMS.,"Executing GEOtop as an OMS model component allows it to: (1) interact directly with the open-source geographical information system (GIS) uDig-JGrass to access geo-processing, visualization, and other modeling components; and (2) use OMS components for automatic calibration, sensitivity analysis, or meteorological data interpolation.",We present the integration of the GEOtop model into the OMS version 3.0 and illustrate its application in a small watershed.,"OMS is an environmental modeling framework that facilitates model development, calibration, evaluation, and maintenance."
10.1016/j.envsoft.2008.02.006,A framework for linking advanced simulation models with interactive cognitive maps (2008),"There is a dichotomy between advanced simulation models and flexible, simple tools for supporting policy-making.",The framework has been illustrated by analysing two models from literature with the QPN-based method.,This paper presents a framework for such a linkage.,"It is shown that (1) QPNs can be linked consistently to models with deterministic functions and continuous variables; (2) it is possible to deal with spatially and temporally explicit information; (3) despite the fact that QPNs must be a-cyclic, it is possible to capture feedback loops in a QPN-based tool.",
10.1016/j.compind.2005.12.003,A modeling framework for agile and interoperable virtual enterprises (2006),"Thus, this paper develops a systematic modeling framework by harmonizing these approaches and combining the individual advantages of each approach to produce integrated synergy effects.",This paper suggests a framework for designing the agile and interoperable VEs.,"It also supports a coherent enterprise modeling in which various stakeholders having their own aspects and methodology, such as an IT manager and a business manager, can communicate effectively.",,
10.1016/j.envsoft.2012.09.010,Stakeholder driven update and improvement of a national water resources model (2013),Local knowledge is continuously improved urging the model update to be an on-going process.,Two utility programs developed to optimise the updating process and support the uptake of data and knowledge from local users are furthermore presented.,"The three levels vary with respect to technical tasks, challenges and stakeholder involvement.","To ensure a coherent and consistent management across various institutions and authorities, having different responsibilities and operating at various scales, a common tool integrating all relevant knowledge and data is imperative.",This process was largely stakeholder driven by involvement of predominantly the technical staff at the regional water authorities.
10.1016/j.envsoft.2015.08.019,Behavioural issues in environmental modelling - The missing perspective (2015),These issues can relate both to the modeler and to the modelling process including the social interaction in the modelling team.,The origins of behavioural effects can be in the cognitive and motivational biases or in the social systems created as well as in the visual and verbal communication strategies used.,The possible occurrence of these phenomena in the context of environmental modelling is discussed and suggestions for research topics are provided.,,
10.1002/2015WR017200,A unified approach for process-based hydrologic modeling: 2. Model implementation and case studies (2015),This emphasizes that improvements in model fidelity require a sagacious choice of both process parameterizations and model parameters.,Results also demonstrate that changes in parameter values can make as much or more difference to the model predictions than changes in the process representation.,"In conclusion, we envisage that SUMMA can facilitate ongoing model development efforts, the diagnosis and correction of model structural errors, and improved characterization of model uncertainty.","Specific examples of preferable modeling approaches include the use of physiological methods to estimate stomatal resistance, careful specification of the shape of the within-canopy and below-canopy wind profile, explicitly accounting for dust concentrations within the snowpack, and explicitly representing distributed lateral flow processes.","This second paper specifies the model equations and their spatial approximations, describes the hydrologic and biophysical process parameterizations currently supported within the framework, and illustrates how the framework can be used in conjunction with multivariate observations to identify model improvements and future research and data needs."
10.1016/j.envsoft.2007.05.019,Ten steps applied to development and evaluation of process-based biogeochemical models of estuaries (2008),Ten iterative steps in development and evaluation of environmental models.,"Environmental Modelling and Software 21, 602-614], is often iterative as model development is a continuous process that refines and improves the intended capacity of the model.",,,
10.1016/j.jhydrol.2016.06.009,Flexibility on storage-release based distributed hydrologic modeling with object-oriented approach (2016),"The model is tested for demonstrating model flexibility and extensibility to know how to well integrate object-oriented approach to further hydrologic research issues, e.g., reconstructing missing precipitation in this study, without changing its main frame.","To address this need, a storage-release based distributed hydrologic model,(STORE DHM) is developed based on an object-oriented approach.","With the availability of advanced hydrologic data in public domain such as remote sensed and climate change scenario data, there is a need for a modeling framework that is capable of using these data to simulate and extend hydrologic processes with multidisciplinary approaches for sustainable water resources management.","Consequently, this study suggests that STORE DHM with an object-oriented approach will be a comprehensive water resources modeling tools by adding additional classes for toward developing through its flexibility and extensibility.",This study also describes a conceptual and structural framework of object oriented inheritance and aggregation characteristics under the STORE DHM.
10.1016/j.compind.2011.12.001,Multi-abstraction layered business process modeling (2012),The ultimate goal of this framework is to structure modeling efforts and to improve the usability of business process models in day-to-day decision making.,"This paper presents a simple yet effective multi-layered multi-view business process modeling framework that integrates organizational aspects, behavioral aspects, and input and output of business processes.",Business Process Management (BPM) acceptance requires a modeling framework in which all abstraction layers (from the high-level enterprise view to the low-level task view) are unified and kept consistent at all times.,A set of relationships between the layers are defined to support round-tripping as much as possible.,
10.1016/j.envsoft.2007.09.002,"Development and illustrative outputs of the Community Integrated Assessment System (CIAS), a multi-institutional modular integrated assessment approach for modelling climate change (2008)","It also allows rigorous testing of the robustness of IA modelling results to the use of different component modules representing the same processes (for example, the economy).","Key to this development is the supporting software infrastructure, SoftIAM.","Such processes are often modelled in very different ways, using different paradigms, at the participating institutions.","At the heart of SoftIAM is the Bespoke Framework Generator (BFG) which enables flexibility in the assembly and composition of individual modules from a pool to form coupled models within CIAS, and flexibility in their deployment onto the available software and hardware resources.",An illustrative application to the study of the relationship between the economy and the earth's climate system is provided.
10.1016/j.envsoft.2017.11.010,A modeling framework for evaluating streambank stabilization practices for reach-scale sediment reduction (2018),The methodology was applied to Fivemile Creek in western Oklahoma.,Vegetation with 2:1 bank slopes was the most cost-effective stabilization technique.,,,
10.1002/2016WR020190,"Comment on ""Most computational hydrology is not reproducible, so is it really science?"" by Christopher Hutton et al. (2017)",Several specific examples are discussed in the field of hydrological modeling.,Such reproducibility can be compromised by the lack of clear standards and insufficient methodological description of the computational details involved in an experiment.,"Plain Language Summary This article highlights several important issues to ensure the scientific reproducibility of results within the current scientific framework, going beyond simple documentation.","In addition, the inappropriate application or ignorance of copyright laws can have undesirable effects on access to aspects of great importance of the design of experiments and therefore to the interpretation of results.",
10.1016/j.cie.2010.10.011,A data-driven generic simulation model for logistics-embedded assembly manufacturing lines (2011),The framework was validated by developing simulation models of cellular and conveyor manufacturing systems.,"The framework can be used to quickly develop an integrated simulation model of the production schedule, operation processes and logistics of a system.","However, building a simulation model of a manufacturing system is time-consuming and error-prone because of the complexity of the systems.",This paper introduces a generic simulation modeling framework to reduce the simulation model build time.,The generic simulation model was developed considering the processing as well as the logistics aspects of assembly manufacturing systems.
10.1016/j.envsoft.2012.11.010,Models as web services using the Open Geospatial Consortium (OGC) Web Processing Service (WPS) standard (2013),"Coupling these computational resources can be accomplished using various tools, each requiring the developer to follow a specific protocol to ensure that components are linkable.","Despite these coupling tools, it is not always straight forward to create a modeling workflow due to platform dependencies, computer architecture requirements, and programming language incompatibilities.","Environmental modeling often requires the use of multiple data sources, models, and analysis routines coupled into a workflow to answer a research question.",This work advances the idea of service-oriented modeling by presenting a design for a modeling service that builds from the Open Geospatial Consortium (OGC) Web Processing Service (WPS) protocol.,A service-oriented approach that enables individual models to operate and interact with others using web services is one method for overcoming these challenges.
10.1016/j.envsoft.2015.02.009,A lightweight framework for rapid development of object-based hydrological model engines (2015),The focus of the paper is put on a comprehensible outline of the ECHSE's fundamental concepts and limitations.,Extensions may be necessary due to the peculiarities of the studied natural system or subtleties of anthropogenic control.,"For the purpose of illustration, a specific, ECHSE-based solution for hydrological catchment modeling is presented which has undergone testing in a number of river basins.",Computer-based simulation models are frequently used in hydrological research and engineering but also in other fields of environmental sciences.,ECHSE-based models treat the simulated system as a collection of interacting objects.
10.1016/j.envsoft.2017.03.001,An overview of the system dynamics process for integrated modelling of socio-ecological systems: Lessons on good modelling practice from five case studies (2017),However lessons about many of these practices are often unreported.,This is complemented by a literature review of system dynamics applied within the context of integrated modelling and environmental DSS.,"Similar to other modelling methodologies, the potential of system dynamics to contribute to system understanding and decision making depends upon the practices applied by the modeller.","Although we used system dynamics as the common lens from which lessons are drawn, many of these insights transcend to other integrated modelling approaches.",The case studies cover a variety of environmental issues and system dynamics modelling methods and tools.
10.1016/j.envsoft.2012.03.007,Environmental model access and interoperability: The GEO Model Web initiative (2013),The Group on Earth Observation (GEO) Model Web initiative utilizes a Model as a Service approach to increase model access and sharing.,"There are also a variety of other key challenges, including difficulties in making models interoperable; calibration and validation; and social, cultural, and institutional constraints.","Although the long term vision of a consultative infrastructure is clearly an ambitious goal, even small steps towards that vision provide immediate benefits.","Architectural solutions, in keeping with the Model Web principles, exist for each of these technical challenges.","The long term vision is for a consultative infrastructure that can help address ""what if"" and other questions that decision makers and other users have."
10.1016/j.simpat.2017.05.010,A hierarchical composite framework of parallel discrete event simulation for modelling complex adaptive systems (2017),"The top layer is CAS system model, which defines a CAS model consist of several LPs and also the interactions between these LPs.","The bottom layer is simulation model component(SMC), which is not a model but implement some simulation-specific support functionality.","As complex adaptive systems(CAS) continue to grow in scale and complexity, and the need for system adaptability increases, systems modelling has become an essential concern.","The middle layer is logical process model(LP), which describes an agent which can react to the current situation by executing a sequence of SMCs.","In order to verify its effectiveness, a complex social opinion system model is proposed based on this hierarchical composite modelling framework."
10.1016/0048-9697(95)04974-6,Decomposition processes: Modelling approaches and applications (1996),"For these reasons, the impacts of local, regional or global environmental changes on the quality and turnover of dead organic matter are of considerable interest.","Alternatively, many simulation models have been constructed to gain insight to potential impacts of anthropogenic activities.","In this paper, we examine models developed at different levels of resolution to simulate various aspects of decomposition and nutrient cycling and how they have been used to assess potential impacts of environmental changes on terrestrial ecosystems.",Decomposition is also a complex phenomenon that can be modified by changes in the characteristics of the decaying materials or prevailing environmental conditions.,"Decomposition is a fundamental ecosystem process, strongly influencing ecosystem dynamics through the release of organically bound nutrients."
10.1016/j.envsoft.2016.03.001,Implementation and application of a distributed hydrological model using a component-based approach (2016),The results show that the componentised model reproduced the daily and monthly flow hydrograph with 'good' accuracy.,"The application of a model to different study areas often requires that the model be modified to conform to specific characteristics, but this can be challenging due to the poor readability and reusability of the legacy codes.",,,
10.1111/jiec.12386,Toward a Practical Ontology for Socioeconomic Metabolism (2016),"To resolve the conflicts and inconsistencies within the current definitions, we propose a hierarchical system of terms and definitions, a practical ontology, for describing objects, their properties, and events in SEM.",This grouping leads to a general definition of stocks.,"We propose guidelines for semantic data annotation and database design, which can help to turn the vision of a powerful data infrastructure for SEM research into reality.",We review the definitions of basic concepts to describe SEM in IE and related fields such as integrated assessment modeling.,"We find that many definitions are not compatible, are implicit, and are sometimes lacking."
10.1016/j.envsoft.2004.08.016,A case study of environmental modelling and simulation using transplantable components (2005),These changes have been supported by development of a range of modelling environments that allow rapid creation of environmental models from components.,"It was found that, when applied using a powerful and flexible modelling environment, the component-based modelling concept provides not only an elegant method for model development, but also the opportunity to explore model expansion and refinement through use of transplantable components.",To date there has been little exploration of the opportunities that modelling environments offer in terms of flexible model construction by transplanting components.,"Additionally, the concepts of component-based software development and use of object-oriented programming have produced new environmental modelling methods.","In the work reported here, simple catchment-based nonpoint source pollution models are constructed using the ICMS modelling environment, and a number of different data types and components are used within a single model structure to estimate pollution loads."
10.1177/0037549717733064,A meta-modeling framework in public health emergency management (2018),"Therefore, we propose a domain-specific methodology to guide the modeling process in PHEM.",Epidemic transmission is a common type of public health emergency that is difficult to forecast and often causes substantial harm.,This study provides a valuable framework and methodology with which to study complex social problems in PHEM.,Models are also made more complex by the consideration of new requirements and interactions.,
10.1016/j.compenvurbsys.2013.06.001,Seeing the forest through the trees: A review of integrated environmental modelling tools (2013),Today's interconnected socio-economic and environmental challenges require the combination and reuse of existing integrated modelling solutions.,"This paper contributes to this overall research area, by reviewing a wide range of currently available frameworks, systems and emerging technologies for integrated modelling in the environmental sciences.","Nevertheless, we conclude that the combination of modelling tools, which address complementary viewpoints - such as service-based combined with scientific workflow systems, or resource-modelling on top of virtual research environments - could lead to sustainable information systems, which would advance model sharing, reuse and integration.",This seems mainly due to the fact that the field as such is highly complex and diverse.,Next steps for improving this form of multi-disciplinary interoperability are sketched.
10.1016/j.envsoft.2013.06.009,Map algebra and model algebra for integrated model building (2013),"We use the prototype implementation of the framework in an illustrative case study to build an integrated model that couples model components simulating the interaction between biomass growth, wildfire, and human impacts with different temporal discretisations.","We propose an integrated modelling framework that provides descriptive means to specify (1) model components with conventional map algebra, and (2) interactions between model components with model algebra.",A seamless work-flow of construction and coupling of model components is essential for environmental scientists.,"The framework provides templates for the custom construction of model components and accumulators, and a management layer arranges the schedule for the execution of the integrated model.","However, currently available software packages are often tailored either to the construction of model components, or to the coupling of existing components."
10.1002/hyp.1068,The value of environmental modelling languages for building distributed hydrological models (2002),Both system programming languages and high-level environmental modelling languages are evaluated based on a list of requirements for the optimal programming language for such models.,"This is illustrated with a case study, implemented using the PCRaster environmental modelling language to create a distributed, process-based hydrological model based on the concepts of KINEROS-EUROSEM.","An evaluation is made of the suitability of programming languages for hydrological modellers to create distributed, process-based hydrological models.","The study shows that environmental modelling languages are equally good as system programming languages in minimizing programming errors, but are worse in generic application and performance.",It is expected that environmental modelling languages will be used in future mainly for development of new models that can be tailored to modelling aims and the field data available.
10.1016/S0098-3004(01)00004-8,Parallel processing for finite-difference modelling of ice sheets (2001),This paper describes techniques for the parallel processing of ice sheet models and presents design approaches for both the Gray T3 series and other parallel architectures.,"Improved modelling of ice sheets, by use of high resolution and with representation of inert physical processes, is constrained by long run-times even on the latest single-processor workstation.",,,
10.1029/2010WR009108,Modeling the long-term and transient evolution of biogeochemical and isotopic signatures in coal tar-contaminated aquifers (2011),"The model framework addresses the simulation of the long-term dynamics of source zone depletion, the fate of the released compounds during reactive transport in the groundwater, the evolution of the aquifer's biogeochemical response, in particular its redox conditions, and the redox-dependent carbon isotope fractionation of selected organic compounds.","In the present study, we developed a comprehensive quantitative model that incorporates the key processes affecting the long-term fate of complex organic compound mixtures released from coal tar-type dense nonaqueous phase liquid sources.",This emphasizes the need for a holistic understanding of the governing processes that control the effectiveness of monitored natural attenuation before it is implemented as a passive remediation strategy at nonaqueous phase liquid-contaminated sites.,The modeling framework was applied for the interpretation of observed biogeochemical and isotopic data from a well-characterized coal tar-contaminated site in northern Germany.,The modeling results illustrate how difficult and uncertain the assessment of contaminant fate can be if the collected data cover only a small time window relative to the transport time scale.
10.1177/0037549715580174,Semantic validation of physical models using role models (2015),The framework allows for the creation of validation rules for different design aspects.,This makes the effective validation of models for different design aspects crucial.,Role models and rules have shown to be easily described with the frameworks role model language and role model definitions are successfully re-used by the definition of mappings for both kinds of modeling languages.,This article presents a design and implementation of a role-based validation framework.,This is done by role models that are used to define restrictions for an aspect by roles and rules.
10.2136/vzj2016.05.0048,Processes and Modeling of Initial Soil and Landscape Development: A Review (2016),"We present a review of the current literature regarding the description of initial structures, the state-of-the-art of research on structure-forming processes and their interaction with existing and newly emerging structures, as well as the corresponding modeling efforts.","Based on existing conceptions for integrated modeling of the coevolution of structures and ecohydrological behavior, we outline an integrative modeling framework that is based on a three-dimensional spatial structural model of initial sediment distributions, which can be used to: (i) analyze the spatiotemporal development dynamics depending on initial structures; and (ii) relate the simulated structural development to available observations of initial ecohydrological development.",The interaction between structures and ecohydrological processes during the critical initial development period is scarcely understood and often difficult to observe.,"We discuss possible validation and generalization strategies of modeling results, and propose to define three-dimensional spatial functional catchment units (process domains) characterized by specific structural dynamics and the dominant ecohydrological processes.","While viable modeling approaches exist for most aspects of initial development (e.g., landscape evolution, vegetation succession), a deeper understanding of the prevailing feedback mechanisms requires a comprehensive, integrated modeling approach."
10.1016/j.advwatres.2011.12.005,Averaging theory for description of environmental problems: What have we learned? (2013),"We review advances in understanding and use of averaging theories to describe porous medium flow and transport at the macroscale, an averaged scale that models spatial variability, and at the megascale, an integral scale that only considers time variation of system properties.",We detail physical insights gained from the development and application of averaging theory for flow through porous medium systems and for the behavior of solids at the macroscale.,We discuss how the results derived from averaging theory that are available can be built upon and applied broadly within the community.,Advances in Water Resources has been a prime archival source for implementation of averaging theories in changing the scale at which processes of importance in environmental modeling are described.,We show the relationship between standard models that are typically applied and more rigorous models that are derived using modern averaging theory.
10.1016/j.cageo.2010.11.013,A scientific workflow environment for Earth system related studies (2011),"This work is motivated by the complexities of running a large modeling system on a high performance network and the need to reduce those complexities, particularly for the average user.","In this paper, we present a methodology to combine a scientific workflow and modeling framework approach to create a standardized work environment and provide a first example of a self-describing Earth system model.",We then show the results of an example workflow that is based on the proposed methodology.,,
10.1016/j.envsoft.2014.07.005,The application of componentised modelling techniques to catastrophe model generation (2014),"Finally, we discuss how a flexible model integration methodology, such as described in this paper, facilitates a better understanding of the assumptions used within the catastrophe model by enabling the interchange of model components created using different, yet appropriate, assumptions.",These probabilistic loss estimates often underpin re-insurance transactions.,,,
